epoch,accuracy,loss,val_accuracy,val_loss
0,0.3636866807937622,1.3287557363510132,0.4207492768764496,1.2797452211380005
1,0.6637143492698669,0.9750218391418457,0.6829971075057983,0.8899107575416565
2,0.7954608201980591,0.5633911490440369,0.7146974205970764,0.7688366174697876
3,0.847771942615509,0.40559685230255127,0.7204610705375671,0.8005883693695068
4,0.8887351155281067,0.3168500065803528,0.6945244669914246,0.8263307809829712
5,0.9092167019844055,0.25954219698905945,0.6974063515663147,0.8901735544204712
6,0.9277608394622803,0.21158868074417114,0.7118155360221863,1.0012080669403076
7,0.9451978802680969,0.179921954870224,0.6772334575653076,1.0175796747207642
8,0.9537780284881592,0.15192227065563202,0.6858789920806885,1.0805928707122803
9,0.9609742760658264,0.13341283798217773,0.6743515729904175,1.089268445968628
10,0.9665098190307617,0.11599775403738022,0.6887608170509338,1.1616421937942505
11,0.9684472680091858,0.10699334740638733,0.6772334575653076,1.2041739225387573
12,0.9678937196731567,0.09904036670923233,0.6714697480201721,1.2591276168823242
13,0.9709382653236389,0.09164538234472275,0.6657060384750366,1.3055604696273804
14,0.975643515586853,0.086028091609478,0.680115282535553,1.2542548179626465
15,0.974259614944458,0.0849863588809967,0.6858789920806885,1.3971391916275024
16,0.9745364189147949,0.07707028090953827,0.6829971075057983,1.3587076663970947
17,0.975643515586853,0.0759068951010704,0.6685879230499268,1.4382708072662354
18,0.9759202599525452,0.07375447452068329,0.6772334575653076,1.4327462911605835
19,0.9786880612373352,0.0701620802283287,0.6887608170509338,1.4784239530563354
20,0.9778577089309692,0.06869978457689285,0.680115282535553,1.493711233139038
21,0.9778577089309692,0.06561008840799332,0.6685879230499268,1.5626269578933716
22,0.9761970639228821,0.06484083831310272,0.6772334575653076,1.5560524463653564
23,0.9781345129013062,0.0606079027056694,0.680115282535553,1.5235759019851685
24,0.9778577089309692,0.060675423592329025,0.6714697480201721,1.5799964666366577
